"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"qqml","29 September 2019","Detective, homicide, crime, etc. that was hot topics in that time period. Brad was young and acted bad back then.","
            10/10
            "
"alainenglish","4 September 2002","A hard-hitting, noirish movie,, ""Seven"" is a detective horror thriller that contains a pair of typically mis-matched cops as they try to hunt down an elusive serial killer, whose modus operandi is the Seven Deadly Sins......In an unnamed, rain-drenched hellhole of a city, world-weary Detective Somerset(Morgan Freeman) is about to retire.  But he must spend his last week on the force with a hot-headed rookie, Detective Mills (Brad Pitt), as they uncover the killer behind a series of unusual and grisly murders.Their first case is a grotesquely obese man who has been forced to eat until his stomach bursts.  Their next case is a lawyer who's been forced to cut off a pound of his own flesh.  Somerset deduces the killer is murdering people according to the Seven Deadly Sins.  Little by little, as one murder follows another, the detectives themselves become entrapped in the killer's diabolical plan.A taut, solid script delivers a fair share of shocks, suspense and a certain amount of gore.  Andrew Kevin Walker also allows his characters to muse on the purpose of life, as well as adding some dark and deeply cynical views on everyday reality.The film is very well shot, with light and colour being used in particular to accentuate the plot and themes of the film.  A note left behind by the killer at the first murder scene reads: ""Long is the road, and hard, that out of Hell leads up into light.""  This is reflected in the way the murder scenes are set, the first murder being committed in gloomy darkness and the last, and the most shocking, being committed in blinding sunlight.  The cinematography further gives a very bleak view of city life, the streets shown to be grotty, grimy and miserable.The film's fine technical qualities are supported by some excellent performances.  Brad Pitt is on fine form is the cocksure copper whose impulsiveness becomes his undoing.  By contrast, Morgan Freeman is very restrained, giving a quietly confident performance as the intellectual Somerset.  Kevin Spacey nearly steals the entire film as the killer John Doe.  His scene in the back of the police car where he righteously justifies his gruesome moral crusade is the film's most powerful and thought-provoking scene.Well directed by David Fincher, ""Se7en"" remains an intriguing and very clever piece of modern horror.","
            9/10
            "
"blndbahaden","5 May 2021","Se7en is unsettling , scary , gory , and unusual if you watch the movie you will know what i mean by saying unusual. It doesn't follow the thriller movie standards and does things in its own way and that's one of the reasons this is such a great movie. The characters are amazing and the villain is exceptional and the directing is phenomenal. Se7en is one of the best of movies of all time and its genre if not the best thriller I have seen. I highly recommend this movie.","
            9/10
            "
"h-28658","22 March 2020","This is a very brutal, grim film. Sometimes too grim. But the directing, script, cast, and acting make this one of the best murder stories ever.","
            10/10
            "
"MxS7HGS","30 January 2024","Se7en is a chilling exploration of absolute evil, leaving an indelible mark on viewers with its haunting portrayal. The film's conclusion, marked by a single line of dialogue, serves as a painful contemplation that remains unaltered upon revisits. The setting sun over a darkened landscape encapsulates the movie's essence, but its impact extends beyond this grim depiction.Viewed as the chilling punchline to a narrative conveying hopelessness, Se7en weaves brief moments of light and levity to heighten the impact of torrential rainstorms and deepen the prevailing conservatism. It portrays a city engulfed in perpetual filth and apathy without delving into the societal conditions that led to such a state. It suggests that its characters are either striving to change the city's outlook or break free from it.The villain deflects blame onto an uncontrollable force, refusing to acknowledge their own apathy. When Tracy expresses concern over the city's public school conditions, Somerset dismisses the possibility of change, suggesting private schools. David Fincher astutely reveals that the characters are complicit in the city's problems, much like John Doe. Amid lurid thrills and unsettling imagery, Fincher skillfully creates an unforgettable shadow, well-timed jump scares, and an atmosphere laden with oppressive chill. The victory wail of Kevin Spacey's character always sends a cold shiver down my spine.","
            9/10
            "
"Reyhan5289","17 March 2022","I watched Se7en assuming it would be a regular detective movie. I am happy to say that I have been proven wrong to a great degree. First off, I'd like to gush over how perfect the cinematography is for this movie. The intense downpour of rain present throughout (most of) the movie adds so much to the noir atmosphere the film evokes. The lighting is quite minimal throughout the movie. This choice was obviously made to create a more claustrophobic and creepy ambience and I would say it works. Howard Shore's score is not too noticeable in the film, it does add tension and in the final act it does help with freaking out the viewer even further.The disgusting murders shown in this movie are what set it apart from other crime/thriller films. Not to spoil anything, but the people who made this were certainly creative. Brad Pitt, Morgan Freeman and Kevin Spacey are beautifully cast here. The best way to see this movie is completely blind like I was, so I won't give anything away.This movie is definitely not one to forget and is a must-watch.10/10.","
            8/10
            "
"preston_peace","11 May 2015","I think the greatest strength of Se7en is its opening twenty minutes. The first twenty minutes makes you think that you're in for a decent, gritty, detective movie. But nothing worth the 250. It's sort of what Summerset and Mills thinks they're getting into. They think that this is going to be a hard case, but not scarring. They keep their heads high and don't think much of it. But after those twenty minutes, it becomes a tale of self worth, moral ambiguity, guilt and everything that'd usually be fluff in any other movie, turned into a disturbing look into what we can and have become as a species.The film is hard to write about because it does everything in a bad buddy cop movie and makes it realistic. How would Mel Gibson and Danny Glover function outside of the job? How would the world react to absurd James Bond like plans? How would a basically criminal master mind make his plans make sense? The film is like a satire that went all of the way. It makes everything that'd be nonsense in any other film, and I mean any other film, work. The dialogue works, the acting, the camera, the story, the plan, the makeup, everything works. And the best part is, you don't expect it to. By all means, this film should've been awful, and it's brilliant.This the first time I'm truly recommending a movie. Unlike a lot of good movies, this one you want to suggest to others. It's hard to recommend something like The Good, the Bad, the Ugly or Citizen Kane because of one reason or another. It's too long, some things don't make sense, but Se7en is a film that's enjoyable and for reasons that can't be explained. It's a watchable movie.The only problem is also the greatest strength. The first twenty minutes are a bit, well, ""slow"" because they're necessary and without it the film wouldn't work on an emotional or logical level. But, even then, it so much more watchable than a lot of other first twenty minutes. It's a ""good movie"" no matter what.If nothing else, everything about this film WORKS. What that means, I still don't know. But it's a working movie and make of that what you will. Please, watch this movie.","
            10/10
            "
"Icarus_prime","20 May 2016","This is a perfect example where a movie is good and/or got better due to its ending. Three-quarters of the whole film is pretty much stock standard crime, mystery thriller and the ""senior-rookie"" relationship between the characters that Morgan Freeman and Brad Pitt portray is straightforward but not generic and narrow-minded since their chemistry is so natural. The reason for the latter is that the character, Mills while impulsive, his short-tempered and foul-mouth personality doesn't detract his presence and overall viewing experience of the movie. He's kept in check by William; the archetypal ""calm and collected veteran"" but during moments like these, they actually have interesting, contrasting discussions in how they see the world, the people and the crimes within a detective's perspective. The film sets up so they avoid Mills' emotional outcries as the focus of the scene which I appreciate. It makes Mills a more multi-dimensional character because we can clearly see him and William are presented as different people on the surface. But the film takes an effort to establish how they're different. The actual methods and scenes of the murders are indeed quite graphic but the most effective and disturbing one takes place at the end. It's the classic case of not showing that makes it more frightening because it's when our endless imagination takes stage. Speaking of the ending, the reason I view it with high praise is because it's not phoned in and artificial. The film put in some key clues in earlier scenes to justify the killer's methods validly. Its impact is strengthen by the fact that the serial killer is shown quite early and the film uses the remaining sequences well to establish the character. Of course, the actor that plays the killer at the end puts on a a remarkable, chilling performance that only makes the last quarter of the movie better. Normally, the 'mystery' aspect to a film like this would be gone and thus detract our enjoyment (Julia's Eyes is an example that it did) but it didn't for me because we're clearly more interested by the end of WHY the killer kills. It's a natural, organic progression when we're all sucked in to the elaborate ways that the victims are killed at the start. While the actual killer's motivations is a little simple- minded and its all explained in one convenient scene, I just love how the VERY last sequence of the movie refused to venture on a black-and-white ""good guys beat bad guys"" type of ending and sticked to its guns on what the film is about by using the killer as the subtext. Overall, I enjoyed this modern hard-boiled flick and the only problems I had with the movie is that its a little too reliant on the ending to be a deciding factor on whether or not you would enjoy this picture. Lastly, when I referred to the killer's intentions as slightly one-sided, I felt like it was a bit self-indulgent at times and wasn't all-encompassing enough when the film needed to foreshadow more on its underlying message during sections of the film before the killer was revealed. We only see a few glimpses from the interactions between Freeman and Pitt as well as the dark, grim setting (neo-noir) portrayed in the movie but I need more still. I thought if the film executed on the ""why"" part of the killings a bit better and not just ""how"" (which I already explained it's done admirably) then it would've easily pushed my rating from a 8.5/10 to a 9 or higher.","
            10/10
            "
"MAYESY-44","28 May 2020","This is a must see film, it has everything you want in an action packed thriller. A great story with action, suspense and one of the best twists to a film I have ever seen.","
            9/10
            "
"khalidmoubile","21 July 2022","Se7en.Two homicide detectives tracking down a sadistic serial killer who uses the seven deadly sins as motives for his horrible crimes .David Fincher's Se7en is a reference for everyone trying to make a good noir movie because this one is perfect ,The brightest spotlight in this masterpiece is the screenplay for me ,I haven't watched such as a well-written movie for a long while , the story is interesting ,a sadistic criminal following a pattern and having motives for his crimes , the process of investigations was thrilling with deep dialogs and the most important thing is the plot twist that will make you realize how iconic Se7en is!David Fincher did a great job , his well filmed scenes delivers the mysterious atmosphere and the thrilling one, but the last scene is to be taught .Obviously ,acting performance were as solid as directing and writing , I loved the young detective Brad Pitt ,and I felt the same with the reasonable aged detective Morgan freeman .The chemistry between the two was enough to keep me watching the film , the age difference was a great detail that made me enjoy their conversations , I was missing Morgan's voice by the way!I kept this masterpiece as long as I could without watching it ,I knew I'll admire it ,I wasn't ready for this consistent story that's dramatically strong and breathtaking until one of the greatest endings pop up.""William Somerset: Ernest Hemingway once wrote, ""The world is a fine place and worth fighting for."" I agree with the second part.""","
            9/10
            "
"chubarova","18 May 2020","It's one of best detective film ever. Firstly, the story ia very interesting, it's one of the first detective film which used Bible easters for explaining murder's motivation. Secondly, the cast is great, Brad Pitt and Morgan Freeman shown the wonderful performance. The end of film is unpredictable, viewer would be really surprised.
So, it's great film.","
            10/10
            "
"t4art","7 April 2022","I consider this film to be a cradle and inspiration for every filmmaker who presents crime and mystery cinema.This is a film that should not be re-presented in any way, but I hope that there will be a new part for it and we will see after years what the investigators have reached and how they are facing crime in our time.The Seven Sins are still present among humans and the movie must present us with a new masterpiece with a new part and with the same weight.","
            9/10
            "
"jasminn_tan","4 October 2022","Morgan Freeman and Brad Pitt made a great team in this movie. I really liked the dynamics of their characters, with one being the mature and intelligent one while the other is younger and more reckless. The movie wouldn't have been as entertaining if both characters had similar personalities. And watching this in 2022, I really liked how Freeman's character was written; he had experienced the vicissitudes of life and that made him wiser.The plot was good and gripping and I enjoyed the pacing of it as well. The crimes were very violent in nature but luckily they weren't too explicit. And for something that was filmed in the 90s, the special effects were amazing. The ending was shocking and it was interesting to see how each character reacted to the situation.Overall, it was a good movie.","
            7/10
            "
"fatalsin80","21 May 2015","This was an awesome movie! Spacey should have won an Oscar he was devilishly cruel and good! Even Brad Pitt had a stellar outing in this as the young cop with something to prove, beautiful lady at home etc.. Morgan Freeman as the smart older and on the verge of retiring cop but is pulled back in for this one last case.. is excellent. Its a shame this didn't receive more Oscar attention. It really found its groove later on I suppose as a classic. Not recommended as a family film has a lot of violence as its a take on the 7 deadly sins. Overall this movie was a 10 for me the cast the directing the story line was dynamite! Well worth a watch a time or two!","
            10/10
            "
"heatsilver","21 September 2016","Rarely does a thriller murder film draw in the audience from start to end without presenting predictable foreshadowing. From the opening credits leaving out Kevin Spacey's name to the consistent ""one step behind the killer"" storyline, Se7en accomplishes a dramatic theme of leaving the audience in a dynamic naïve state through the eyes of Mills and Somerset. Although the acting was emotionally and physically precise, it was the cinematography and lighting that generated the dreary setting and interactions throughout the film, often evoking the appropriately timed tension and emotion. Presented beyond the surface, however, Se7en calls upon a society accusation through the thread of Dante's ""Seven Deadly Sins."" Se7en indirectly advocates that society, as a whole, is migrating towards an inevitable abyss filled with specialization in many of these deadly sins. Even though humans may be ignorant to this path, it continues to occur all around us until we become dragged into it, just like Mills in the ending. The only individual within Se7en that posed a dichotomous relation was Somerset; as he continued to logically view the world in awe of the irrevocability. Somerset and Doe both saw the world in this 3rd person perspective, but their actions represented their individual commitment to the change of society. Doe was willing to take action in an upsetting demonstration, but Somerset continually wanted to escape the world in a hopeless fashion. Therefore, Se7en displays multiple protagonists and antagonists throughout the movie. On the surface, Mills and Somerset are the protagonists trying to stop the killer, John Doe, who is the antagonist. Indirectly being argued, however, is that Doe and Somerset are the protagonists with opposing plans towards the change in societal nature (being represented as the antagonist through the seven deadly sins characters including Mills). That is why I give Se7en a 10/10 for its ability to draw in the audience through cinematography, lighting, plot, and controversial character dynamic throughout the entire film.","
            10/10
            "
"Terno720","24 August 2020","The set design in the film was amazing. I Would have to say is is probubly the best sed desigh I've seen or at least my favourite. The story is also really good it keeps you engaged and curious. for acrime film its done In a different way than I'm used to, I'm used to the new age crime cop movies and this is done a lot better. The crimes are sick and twisted but they are key to the story and moveing it forward and very well thought out and purposeful.Also the shots and cinematergraphy are so beautiful and well framed.","
            8/10
            "
"Nikhil_87","11 February 2004","This great thriller is about a serial killer (Kevin Spacey) and his Se7en victims who represent the Se7en deadly sins. Two cops (Morgan Freeman & Brad Pitt) have been assigned to investigate this case.This is the best movie of the 90's, it has great thrilling moments, Morgan Freeman & Brad Pitts performances are excellent. Se7en has one of the best but shocking and surprising endings of all time. The end is something nobody would expect, i kept rewinding over and over again to see them 3 short seconds where you see... (im not going to spoil the movie).
Kevin Spacey's role in this movie was a surprise for everyone, well except for the people who use IMDB, it said who the killer was played by.The most shocking moment for me was when you see that body on the bed and everyone thinks that person is dead because of the state of the body, but its not, that scene shocked me alot, i never forgot it and never will.Overall i gave Se7en 9/10, everyone that likes thrillers should go see this movie, HIGHLY RECOMMENDED.","
            9/10
            "
"Aly200","22 September 2013","Only the mind of David Fincher could create this dark portrait of a series of murders that is based on the seven deadly sins. Thrown into the fray are two detectives so vastly different from each other, but must work together to solve the grisly murders. The rational Detective Somerset (Morgan Freeman), is on the verge of retiring, but is forced against his will to stay an additional week as the murder spree begins. His partner is the volatile and frustrated Detective David Mills (Brad Pitt), determined to solve his first big city case, much to the chagrin of his wife, Tracy (Gwenyth Paltrow) and to the caring frustration of Somerset.The chemistry between Freeman and Pitt is electric as their characters' personalities clash perfectly. With Pitt playing the hot-headed rookie with Freeman as the seasoned veteran, Mills and Somerset are initially at odds with each other as Somerset disapproves of Mills's quick temper. However the duo realizes that they both must solve the riddle behind the film's killing spree. But their efforts come at a high cost at the film's close when the epic twist is revealed (which I will not reveal here).The murder scenes are grisly and unsettling which should not be viewed by the squeamish. Director David Fincher does spare us the horrible ""Lust"" murder in the film; the details are vaguely described by a witness/participant. And the film's climatic death is portrayed only by the reaction of Morgan Freeman's Somerset as he discovers the truth and valiantly tries to stop the film's final brutal act.If you are able to handle this chilling tale, be prepared to check behind you.","
            8/10
            "
"MrPupkin","17 November 2019","Probably David Fincher's best film next to Fight Club. Seven is a very gruesome film, but is very intriguing to watch with great suspense, performances and a very well written plot. This film features one of the best endings in cinema history as well as being one of the best films in cinema history.","
            9/10
            "
"haydenbate-95920","18 March 2022","Seven is a crime, thriller following a rookie and a hardened, retiring detective as they try and solve the case of the mysterious murders, one per day for Seven days, finding that the victims also follow a pattern, they all represent one aspect of the seven deadly sins. The duo must find this killer before he finishes his grand masterpiece.I love this movie, the grimy and dark atmosphere, almost rustic in nature. Beauty in imperfection. David Fincher is a masterful director, choosing to rely on the weight of the scene, allowing it to hold, over fast cuts and fancy camera movements. The movie hooks you in most with it's disturbing nature, everything is so graphic and or disturbing in context. Right there, seeing what the detectives sees, trying to solve this puzzle with them.But outside of that, the story is simple yet deals with complex ideas, while also keeping it in a 2 hour runtime, which is impressive, knowing how long it needs to be and not over staying it's welcome.The only real issue i had with the movie is that i didn't feel that much of a connection as much as i should have to the story, until John Doe finally comes into the picture. From there, the movie is tense and had me hooked the entire time, the building music and the overall feeling that the characters are not in control. This is Fincher's true start into cinema. Though i prefer fight club and zodiac, this is by far his best original project.","
            8/10
            "
"mbrcf","5 August 2023","I'm moving Se7en's rating from 10/10 to 8/10 after the most recent rewatch. I still love the suspense, the atmosphere, the damp and dark city of New York with its continuous raining, Morgan Freeman's turn as det. Somerset and the third vicious act of the script. But I found some parts if the film rather silly and childish, such as treating Chaucer and Milton's poems as occult, a pop and superficial perspective towards religion and mysticism as a whole, and I found Pitt to be largely unconvincing up until the very last minutes. Simply put, this is not the flawless masterpiece that I once thought it was.","
            8/10
            "
"evancartin","21 June 2023","This film truly haunts with its darkness. The crime at the end of the movie is shocking and full of chaos. I couldn't have guessed that the villain would do something so wicked. The ending is truly haunting, but that's what makes it intriguing. This film is the true definition of a thriller. Se7en doesn't play around with excessive philosophy, but instead presents extreme and terrifying nihilism. Director David Fincher successfully creates a terrifying atmosphere that surpasses the supernatural. It's a horrifying nightmare of terror, and its mystery holds the audience until the end. Despite being incredibly frightening, this film shows no mercy for a cruel world. I don't support nihilism in this film, but I see it as an extraordinary work. Without Fincher's chilling touch, this film wouldn't succeed. The screenplay writer is also remarkable, as they manage to present morally unsettling questions from beginning to end. It is relevant to the horrifying real world.","
            10/10
            "
"joppanLive","22 February 2018","I guarantee this film haunts you after you finish it. A very worthy movie to watch as this kind of movies happens rarely. I advise light-hearted to stay away from this flick as it contains extreme violence and may find it emotionally disturbing. Among the thousands of movies I watched, I would credit this film with the scariest ending.","
            8/10
            "
"coop-16","20 April 1999","Let me say at the outset that I am not a great admirer of David Fincher as a director. Alien3 was far too dreary and bleak, while The Game seemed to be a hollow,if stylish, exercise in manipulation. Having said that, I must register my admiration for Se7en. It was both absolutely terrifying and  thought -provoking. The cinematography, the acting,and script were all superb. Morgan Freeman is indeed one of the world's greatest actors, while Brad Pitt does a great job  as the slow-witted, dogged, arrogant young cop. (Perhaps because his own personality in real life is so similar.) However, the revelation is the performance by the actor playing ""John Doe"" . I will not give his name, as that would help give away the plot Having sung se7ens praises, why do I call it ""nihilistic""? For one thing, the overall tone of the film is one of dread and despair. But much more importantly, Se7en boasts one of the most terrifying endings of any film I have ever seen. It makes the ending of Chinatown seem like the ending of It's a Wonderful Life.","
            9/10
            "
"Mister_Gordon_Shumway","2 December 2007","Long is the way, and hard, that out of hell leads up to light ... (John Milton, Paradise Lost, Book II. Line 432) ""Seven deadly sins, seven ways to die"" is the tag-line for this intense psychological thriller directed by David Fincher: ~ Detective Sergeant Mills (Brad Pitt) is set to replace Detective Lieutenant Somerset (Morgan Freeman), a world-weary cop retiring after years on the force. Somerset can see no end to the harrowing crimes he has witnessed, the sickness that is the City. Dealing with murder, rape, abuse, and poverty has become the Lieutenant's life and he now hopes for some small shred of peace. Mills, on the other hand, is new to the city; he is arrogant and brash, having little time for Somerset's thoughtful and analytical techniques.As retirement beckons, so a new spate of killings begin. Like it or not, Somerset is given the investigation by the Captain (R Lee Ermey) while Mills is put on a different case. The murders are soon linked to the same killer - a twisted genius who chooses his victims based on the seven deadly sins in Dante Alighieri's 'The Divine Comedy' - and Mills and Somerset are paired together once more.Despite their clash of personalities Mills and Somerset strike up a good partnership, Somerset's introspectiveness and Mills's self-confidence turning out to be a useful combination. Each one learns a lot from the other; indeed, Mills's wife (Gwyneth Paltrow) thinks Somerset is a good influence on the husband she is rapidly growing concerned about.It soon becomes apparent that the 'sins' killer is playing a deadly cat-and-mouse game with the detectives, enjoying watching them either stumble or succeed at every turn in the case ... while he continues to kill according to the seven deadly sins: gluttony, greed, sloth, envy, wrath, pride, lust. They must stop him before he can finish his murder spree and most probably disappear forever ~ Se7en is not only the most accomplished film by David Fincher (Zodiac) but almost certainly - from a writing and directing viewpoint - the best psychological thriller in the history of film and television. There are none of the stereotypical clichés found in countless thrillers of violence, no room for the predictable, for the viewer is kept constantly in the dark until the very end. And the climax is both ferocious and awe-striking ... for once Hollywood kept the outcome a secret until the day of release, not an easy thing to do.Whatever vision Andrew Kevin Walker had before he took his script to screenwriter David Koepp (Secret Window) was ultimately realised once in the hands of David Fincher. Fincher's dark and rain-driven sewer, his city of sins, has yet to be matched on film. His choice of cast was spot-on. Se7en is a true classic, crossing genres like crime, horror, thriller and police procedural ... dark and moody, harrowing and painful, Se7en will appeal to the darker side within us all.Co-stars John C McGinley as California (captain of SWAT team) Matthew J Lee-Williams, Review.","
            10/10
            "
"Smells_Like_Cheese","9 May 2004","After every great review of ""Se7en"", I knew I just had to see this movie. I was greatly impressed with this exciting thriller. The beginning was starting a little rocky for me, but everything came in just right. Almost perfect, I really loved this movie. Everything about it. The acting, the sets, the effects. Morgan Freeman and Brad Pitt are amazing in the film with the fine cameo of Kevin Spacey as John Doe. Even though I knew what would happen at the end due to everyone telling me. But I was still more than into this film. I'd recommend this highly.10/10","
            10/10
            "
"Atif_AK","18 March 2017","I developed phenomenally as a person when I saw this movie. Although not my favorite genre, but the plot is immaculate. I don't know how it can conceived this way. Was it a real story that was the inspiration behind. I don't know but just amazing. The performances, the direction, the editing, color grading, title- everything is near perfect. I became a fan of David Fincher, initially I thought it was a little talky but the movie is just hard to forget.","
            9/10
            "
"nogodnomasters","7 December 2018","I have seen this film mentioned multiple times in other movies, I decided I needed to view this film so I can catch innuendos in others.Morgan Freeman is a retiring city detective. He takes Brad Pitt under his wing as a serial killer is on the loose, killing people in theme with the seven deadly sins. Good film with a decent Howard Shore sound track. I did catch a NIN rift during the credits. I thought the ending was predictable. And personally I would have used the alternate note book ending they never filmed, because that was what I expected.At two hours long, we still don't get to know any history or the mind of the killer. That would have been nice.Guide: F-bomb, male nudity.","
            10/10
            "
"max-850","20 March 2009","This movie is almost unwatchable because of the pornographic use of violence. There are filmmakers who use violence sparingly when necessary and then there are the ones who wallow in it like porn. This is an example of the gratuitous use of violence. The studios know that Americans and lots of foreign markets like southeast Asia LOVE violence for its own sake and so they dish it up because it sells. It sells better than sex. Religious zealots will let their kids watch violence while insisting that they avoid sex. So these kinds of movies get elevated to Academy stature. It's symptomatic of the American psyche. We would rather let our kids kill someone than have too much sex. Okay, that's overstated but you get the point. Quentin Tarantino is one of the most famous violence porn producers. David Finscher is talented but I can just imagine him and Quentin masturbating to graphic violence. They need it to get off.","
            1/10
            "
"arthera09","4 June 2011","This is a fantastic movie and I cannot really find anything wrong with it, but in the end it is just a crime drama. The one thing that sets it apart from the rest of the crime dramas is the excellent cast and one of the bleakest ending ever caught on film. Fincher really did do a fantastic job of putting together a well-paced and surprisingly thought provoking movie. Morgan Freeman is the constant in the movie that never allows the viewer to lose hope that the situation is not hopeless, while keeping the viewer cynical enough to make the city that they live in a land of misguided hopeless souls. Freeman has such brevity that is really just amazing to watch him. Pitt on the other hand does a very respectful job of being the young cop with ambitions of saving the world and has places well across from the jaded Freeman. Spacey of course played his character spot on and when he gives himself on is probably the creepiest thing in the movie because at this point you have no idea what he is up to, but you know that is is in total control of the situation. I love how Fincher choose to keep the city raining and lit most of the scenes to emphasize the dark. This matched the darkness nature of the film perfectly. The fact that the last scenes was in the bright day light just made it that more shocking. One can tell that a lot of care when into presenting the world to the viewer in a way that matched the themes perfectly.I think that car ride provided a great forum for us to get to know John Doe even though we only spend a few minutes we seems to know him so well. One can see Mills going down hill and is losing his footing on the moral high ground. It is extremely well played and I love how Summerset comes off as being a match for him. In a way I see Summerset and Doe as being similar, with the main difference of Doe being crazy. I think this is an extremely well done and smart entry of crime dramas that really flips some of the conventions in a way that can be surprising. The fact that they do not catch the killer, but the killer turns himself in and that fact that the cops lose. They do not save anyone's lives and they fall into the trap that Doe set up for them. I very much enjoyed this film and it was paced and put together in a very effective way.","
            9/10
            "
"amethystwings32","15 May 2012","I hated this movie, if I wanted to see a movie with that much blood I would go to a war movie. And if I wanted to see something as gross as an, autopsy. The only good thing about this movie was the acting. I saw this movie at home, if I had gone to the movie in a theater I would have walked out in the middle and asked for my money back. That was my mom's opinion, on this horrific movie! For me I found it to be repulsive, I have seen some awful movies before. But this was a lot worse than awful , from beginning to end . It was demented and disturbing and if anyone thought that it was great needs help! We give it an F!","
            1/10
            "
"Camoo","9 December 2021","Seven is a classic at this point, but it never started as such. There was a lot of pushback from the studio, from actors who turned down the lead roles, deeming the script 'too dark'; and from the marketers at New Line, who understandably didn't know how to sell such a horrific enterprise to the masses. The reality is that this film is no more or less violent than a zillion schlock horror movies that preceded it - it's just that it is so well done, so effective in its narrative, and so psychologically devastating that the resulting film is more horrific in scope than most anything ever made before it, or since.It seems the jury is still out on where this film takes place. New York and Chicago have been posited, but there are no discernible landmarks to tie it to either of these cities. Philly maybe. I think there's nowhere else such a dark, sordid tale could be taking place other than where they shot it: Los Angeles, and there are street signs which don't even bother to hide the true location. Sure, the film is drenched in perpetual downpour rather than the typical sunny Cali atmosphere, but this movie isn't as much about the reality of a location as it is about the evil it documents; something which could only be illustrated with a heightened, dank atmosphere, where the characters seem to all be drowning in an encroaching sorrow.David Fincher's early whack as a director produced something original and sublime. The cliché buddy cop film is turned on its head by having seasoned detective Somerset (Morgan Freeman) and his green partner Mills (Brad Pitt) do away with their opposing roles early on, as they simply sink into procedural necessity. The detective characters become equals much faster than is expected, as they are thrown into a task of having to unravel the crimes of a certain John Doe (? You all know by now who this is), hopefully before the serial killers 'masterpiece' is concluded, and more victims are tallied.Of course, this doesn't happen. What remains most haunting about this film is how uncompromisingly dark it is, how gritty it was allowed to be, how hopelessness is turned into an elegiac statement on evil, loss and death. The score of the film, by Howard Shore, is less remembered than the opening sequence by Trent Reznor - which spurred a great collaboration between a director and a musician - but Shore's contribution here shouldn't be discounted, as it perfectly captures the mournfulness of this story, and and the inevitably of its conclusion.Se7en is the movie which proved David Fincher is an exceptional filmmaker. He has made some pretty hardcore films. Se7en remains his grittiest, most memorable, most uncompromising. Thankfully the studio and marketing guys didn't get their way, or it could have ended up just like a million other detective movies.","
            10/10
            "
"thedarkhorizon","19 May 2020","I was, like many, initially hooked. This is for sure a movie one HAS to see fullscreen in cinema or at least a PRETTY good beamer. Why? Because in this one, the cinematography is SO intense and subtle, follows the actors just RIGHT and pre-dicts certain actions - one has to appreciate this power on a large canvas.
And this is also what I personally loved about this film the most. The overall powerful camera movements and the pace that these create. Slow, fast, bodyless or shaky. Virtuously used. Also, the always high contrast between light and shadow create this intense atmosphere.Usually I am everything but NOT into criminal stories because they seem so predictable, but the way the story was TOLD really got to me. (not the story itself necessarily). The episode in the library, illustrated with classical music - or the invasion of the murderer's home base with its super-dark and sadistic vibe (the LED cross on the wall...wow wow wow!) or the worn-down flat of the more dead than alive Victor with tons of paper-trees (used for cars and better smell)... these are images that will always stay with me. They really got to my heart.So, again. Fincher is a MASTER in telling stories. Not necessarily great stories themselves, but also the way he TELLS THEM... make them really sublime. After the really intense and complex FIGHTCLUB, this is my second favorite movie made by Fincher. Love, love, love.","
            9/10
            "
"mattlx","13 August 2023","""Se7en"" has left a lasting impact on the thriller genre, influencing subsequent films with its dark tone, intricate storytelling, and exploration of the human psyche. Its thematic depth and thought-provoking content have contributed to its status as a cinematic masterpiece.Brad Pitt and Morgan Freeman deliver compelling performances as the detectives with contrasting worldviews. Pitt's portrayal of the young and impulsive Mills is a striking contrast to Freeman's composed and introspective Somerset. Their interactions add depth to the film's exploration of morality and human nature.Kevin Spacey's portrayal of the meticulous and enigmatic killer, John Doe, is haunting. Spacey's understated performance adds to the character's chilling presence, making Doe a formidable antagonist who is not driven by personal gain but by a twisted sense of morality.","
            10/10
            "
"thor2029","7 August 2022","Magnificent detective thriller, served by a dream cast with Brad Pitt, Morgan Freeman and Kevin Spacey among others plus a concrete script, and all this together makes it an exceptional movie a must.","
            10/10
            "
"firefalcoln","18 August 2016","First off let me say that the direction and acting is very good. I don't recall having any major complaints and can't recall many minor complaints. To me this film just didn't have a 10 out of 10 script which is why I give it 8 stars. For me, the story is the most important part of just about every film. This movie's story was very good for the most part. However I had 2 big complaints. 1: for the first murder, they mention receipts for the food he bought. They mention that there was food bought twice the same day. Why didn't the cops investigate the store on the receipt and see if there was any video footage from either/both purchases? 2: I was able to predict the end right before it happened, which really is less than ideal when it was clearly meant to be a shock. I might have ranked the film higher if I hadn't just watched: Witness for the Prosecution. And that film pulls off the surprise ending better and more dramatically than just about any other film. So I had a high bar of expectation prior to seeing the film and I had really high hopes for 7, seeing how it has an 8.6 ranking. I think following my viewing i won't leave as a fan or hater of the film. I managed to see a lot of impressive components in the piece, and it's still well worth a viewing if you can handle the disturbing content. And maybe I was a rare case in predicting the end.","
            7/10
            "
"aman-notall","5 June 2021","I have to say this that this movie is The dark knight of serial killer genre. A masterpiece. Direction.. acting.. editing.. camera work.. you name it.. everything us just topclass.","
            9/10
            "
